id,type,conc,rawData,meanOD,cv,calConc,meanConc,bias
CAL_curve_CAL1,CAL,1500,"2.955
2.964",2.96,0.215%,"1,334.538
1,361.007","1,347.77",-10.148%
CAL_curve_CAL2,ULOQ,1000,"2.822
2.756",2.789,1.673%,"1,032.582
925.444",979.013,-2.099%
CAL_curve_CAL3,CAL,750,"2.641
2.541",2.591,2.729%,"779.484
681.432",730.458,-2.606%
CAL_curve_CAL4,CAL,500,"2.366
2.415",2.391,1.449%,"551.101
583.455",567.278,13.456%
CAL_curve_CAL5,CAL,250,"1.689
1.605",1.647,3.606%,"275.390
253.799",264.594,5.838%
CAL_curve_CAL6,CAL,125,"0.845
0.859",0.852,1.162%,"111.405
113.455",112.43,-10.056%
CAL_curve_CAL7,CAL,62.5,"0.473
0.467",0.47,0.903%,"61.138
60.377",60.757,-2.789%
CAL_curve_CAL8,LLOQ,25,"0.218
0.200",0.209,6.090%,"29.180
26.895",28.037,12.149%
CAL_curve_CAL9,Anchor,12.5,"0.103
0.104",0.104,0.683%,"14.124
14.262",14.193,13.543%
CAL_curve_CAL10,Zero,0,"0.016
0.014",0.015,9.428%,"--
--",--,0.000%
