id,conc,rawData,meanOD,cv,calConc,meanConc,bias
QC_1_QC2,800,"2.559
2.562",2.561,0.083%,"770.224
772.603",771.414,-3.573%
QC_2_QC2,800,"2.504
2.526",2.515,0.619%,"728.461
744.758",736.609,-7.924%
QC_3_QC2,800,"2.423
2.476",2.45,1.530%,"672.678
708.456",690.567,-13.679%
QC_4_QC2,800,"2.436
2.493",2.465,1.635%,"681.214
720.506",700.86,-12.392%
QC_5_QC2,800,"2.426
2.487",2.457,1.756%,"674.635
716.220",695.427,-13.072%
QC_6_QC2,800,"2.409
2.414",2.412,0.147%,"663.652
666.856",665.254,-16.843%
QC_1_QC5,25,"0.167
0.167",0.167,0.000%,"32.914
32.914",32.914,31.656%
QC_2_QC5,25,"0.161
0.167",0.164,2.587%,"31.843
32.914",32.378,29.514%
QC_3_QC5,25,"0.157
0.155",0.156,0.907%,"31.126
30.766",30.946,23.784%
QC_4_QC5,25,"0.155
0.155",0.155,0.000%,"30.766
30.766",30.766,23.065%
QC_5_QC5,25,"0.155
0.151",0.153,1.849%,"30.766
30.045",30.406,21.623%
QC_6_QC5,25,"0.142
0.150",0.146,3.875%,"28.413
29.865",29.139,16.555%
QC_1_QC4,75,"0.465
0.463",0.464,0.305%,"83.453
83.117",83.285,11.046%
QC_2_QC4,75,"0.451
0.459",0.455,1.243%,"81.101
82.444",81.772,9.030%
QC_3_QC4,75,"0.408
0.428",0.418,3.383%,"73.893
77.243",75.568,0.757%
QC_4_QC4,75,"0.441
0.439",0.44,0.321%,"79.422
79.087",79.255,5.673%
QC_5_QC4,75,"0.425
0.425",0.425,0.000%,"76.740
76.740",76.74,2.320%
QC_6_QC4,75,"0.417
0.394",0.405,4.011%,"75.400
71.550",73.475,-2.033%
QC_1_QC3,400,"1.835
1.817",1.826,0.697%,"395.886
389.724",392.805,-1.799%
QC_2_QC3,400,"1.830
1.822",1.826,0.310%,"394.165
391.426",392.796,-1.801%
QC_3_QC3,400,"1.777
1.752",1.765,1.002%,"376.363
368.236",372.3,-6.925%
QC_4_QC3,400,"1.833
1.843",1.838,0.385%,"395.197
398.656",396.926,-0.768%
QC_5_QC3,400,"1.835
1.838",1.837,0.116%,"395.886
396.923",396.404,-0.899%
QC_6_QC3,400,"1.770
1.750",1.76,0.804%,"374.071
367.594",370.832,-7.292%
QC_1_QC1,1000,"2.681
2.682",2.681,0.026%,"876.753
877.718",877.235,-12.276%
QC_2_QC1,1000,"2.678
2.669",2.673,0.238%,"873.867
865.297",869.582,-13.042%
QC_3_QC1,1000,"2.659
2.626",2.643,0.883%,"855.929
826.103",841.016,-15.898%
QC_4_QC1,1000,"2.677
2.645",2.661,0.850%,"872.908
843.075",857.992,-14.201%
QC_5_QC1,1000,"2.632
2.667",2.649,0.934%,"831.405
863.411",847.408,-15.259%
QC_6_QC1,1000,"2.633
2.668",2.651,0.934%,"832.294
864.353",848.324,-15.168%
