id,ods,meanOd,cv,calCon,meanCalConc,df,result,status
LDS_EIS304,"0.107
0.106",0.107,0.664%,"26.942
26.682",26.812,10,268.120,Pass
LDS_EIS323,"0.300
0.301",0.301,0.235%,"75.647
75.899",75.773,10,757.729,Pass
LDS_EIS337,"0.262
0.268",0.265,1.601%,"66.097
67.602",66.850,1,66.850,Pass
LDS_EIS347,"0.013
0.012",0.013,5.657%,--,--,1,<LLOQ,Pass
LDS_EIS367,"1.163
1.154",1.159,0.549%,"332.362
329.046",330.704,1,330.704,Pass
LDS_EIS308,"0.100
0.102",0.101,1.400%,--,--,1,<LLOQ,Pass
LDS_EIS327,"0.277
0.287",0.282,2.507%,"69.862
72.375",71.119,1,71.119,Pass
LDS_EIS353,"1.312
1.354",1.333,2.228%,"390.171
407.548",398.859,10,3988.592,Pass
LDS_EIS373,"1.364
1.373",1.369,0.465%,"411.761
415.579",413.670,10,4136.699,Pass
LDS_EIS343,"0.010
0.012",0.011,12.856%,--,--,10,<LLOQ,RLDF
LDS_EIS357,"1.306
1.283",1.295,1.256%,"387.730
378.464",383.097,1,383.097,Pass
LDS_EIS377,"1.357
1.345",1.351,0.628%,"408.808
403.781",406.295,1,406.295,Pass
LDS_EIS314,"0.098
0.095",0.097,2.198%,--,--,10,<LLOQ,RLDF
LDS_EIS317,"0.101
0.098",0.100,2.132%,--,--,1,<LLOQ,Pass
LDS_EIS319,"0.260
0.261",0.261,0.271%,"65.595
65.846",65.721,10,657.206,Pass
LDS_EIS320,"0.256
0.251",0.254,1.395%,"64.592
63.338",63.965,10,639.651,Pass
