id,ods,meanOd,cv,calCon,meanCalConc,df,result,status
LDS_EIS336,"0.107
0.106",0.107,0.664%,"26.942
26.682",26.812,1,26.812,Pass
LDS_EIS337,"0.100
0.102",0.101,1.400%,--,--,1,<LLOQ,Pass
LDS_EIS338,"0.098
0.095",0.097,2.198%,--,--,1,<LLOQ,Pass
LDS_EIS339,"0.282
0.276",0.279,1.521%,"71.118
69.611",70.365,1,70.365,Pass
LDS_EIS346,"1.260
0.261",0.761,92.886%,--,--,1,--,RCV
LDS_EIS347,"0.256
0.251",0.254,1.395%,"64.592
63.338",63.965,1,63.965,Pass
LDS_EIS348,"0.300
0.301",0.301,0.235%,"75.647
75.899",75.773,1,75.773,Pass
LDS_EIS349,"0.277
0.287",0.282,2.507%,"69.862
72.375",71.119,1,71.119,Pass
LDS_EIS366,"0.262
0.268",0.265,1.601%,"66.097
67.602",66.850,1,66.850,Pass
LDS_EIS367,"0.010
0.012",0.011,12.856%,--,--,1,<LLOQ,Pass
LDS_EIS368,"0.013
0.012",0.013,5.657%,--,--,1,<LLOQ,Pass
LDS_EIS369,"1.312
1.354",1.333,2.228%,"390.171
407.548",398.859,1,398.859,Pass
LDS_EIS386,"1.306
1.283",1.295,1.256%,"387.730
378.464",383.097,1,383.097,Pass
LDS_EIS387,"1.163
1.154",1.159,0.549%,"332.362
329.046",330.704,1,330.704,Pass
LDS_EIS388,"1.364
1.373",1.369,0.465%,"411.761
415.579",413.670,1,413.670,Pass
LDS_EIS389,"1.357
1.345",1.351,0.628%,"408.808
403.781",406.295,1,406.295,Pass
LDS_EIS325,"2.855
2.802",2.829,1.325%,--,--,1,>ULOQ,RUDF
LDS_EIS326,"2.596
2.589",2.593,0.191%,"1,400.686
1,389.704","1,395.195",1,"1,395.195",Pass
LDS_EIS327,"0.014
0.013",0.014,5.238%,--,--,1,<LLOQ,Pass
LDS_EIS340,"1.998
2.104",2.051,3.654%,"762.174
843.944",803.059,1,803.059,Pass
LDS_EIS341,"0.012
0.014",0.013,10.879%,--,--,1,<LLOQ,Pass
LDS_EIS342,"0.012
0.014",0.013,10.879%,--,--,1,<LLOQ,Pass
